date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:28	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2029%20Jul%202021%2014:17:30%20GMT	http://classicrockuniversal.com/robots.txt		(from )
16:17:28	17498/17498	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jul%202021%2014:17:31%20GMT	http://classicrockuniversal.com/	C:/Users/A.Luna/Music/US/classicrockuniversal.com/index.html	(from )
16:17:29	25658/25658	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Mar%202019%2019:34:14%20GMT	http://classicrockuniversal.com/wp-includes/css/dist/block-library/style.min.css?ver=5.0.13	C:/Users/A.Luna/Music/US/classicrockuniversal.com/wp-includes/css/dist/block-library/style.min23c3.css	(from http://classicrockuniversal.com/)
16:17:29	878/878	---M--	200	added ('OK')	text/xml	date:Thu,%2029%20Jul%202021%2014:17:32%20GMT	http://classicrockuniversal.com/xmlrpc.php?rsd	C:/Users/A.Luna/Music/US/classicrockuniversal.com/xmlrpc0db0.php	(from http://classicrockuniversal.com/)
16:17:30	1045/1045	---M--	200	added ('OK')	application/xml	date:Mon,%2025%20Mar%202019%2019:28:13%20GMT	http://classicrockuniversal.com/wp-includes/wlwmanifest.xml	C:/Users/A.Luna/Music/US/classicrockuniversal.com/wp-includes/wlwmanifest.xml	(from http://classicrockuniversal.com/)
16:17:30	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2029%20Jul%202021%2014:17:33%20GMT	http://classicrockuniversal.com/xmlrpc.php	C:/Users/A.Luna/Music/US/classicrockuniversal.com/xmlrpc.php	(from http://classicrockuniversal.com/)
16:17:32	21984/21984	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:53%20GMT	http://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	C:/Users/A.Luna/Music/US/maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	(from http://classicrockuniversal.com/)
16:17:32	114011/114011	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:57%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.0/css/bootstrap.min.css	C:/Users/A.Luna/Music/US/maxcdn.bootstrapcdn.com/bootstrap/3.3.0/css/bootstrap.min.css	(from http://classicrockuniversal.com/)
16:17:32	23411/23411	---M--	200	added ('OK')	text/css	date:Mon,%2001%20Jun%202020%2007:29:27%20GMT	http://classicrockuniversal.com/wp-content/themes/radio/style.css	C:/Users/A.Luna/Music/US/classicrockuniversal.com/wp-content/themes/radio/style.css	(from http://classicrockuniversal.com/)
16:17:34	1752/1752	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2004%20Dec%202020%2023:53:10%20GMT	http://classicrockuniversal.com/feed/	C:/Users/A.Luna/Music/US/classicrockuniversal.com/feed/index.html	(from http://classicrockuniversal.com/)
